Date,Open,High,Low,Close
12/09/14, 1007.48, 1026.56, 1000.21, 1019.33
12/08/14, 1046.90, 1046.90, 1015.49, 1017.83
12/05/14, 1046.12, 1059.48, 1040.72, 1046.90
12/04/14, 1053.04, 1056.44, 1044.98, 1050.38
12/03/14, 1043.53, 1067.77, 1043.53, 1062.13
12/02/14, 1054.61, 1059.94, 1036.28, 1038.39
12/01/14, 1067.06, 1067.55, 1042.33, 1047.95
11/28/14, 1101.68, 1101.68, 1069.73, 1071.38
11/26/14, 1118.77, 1119.90, 1106.70, 1109.31
11/25/14, 1110.58, 1117.98, 1107.51, 1114.07
11/24/14, 1112.93, 1118.76, 1105.97, 1109.70
11/21/14, 1104.80, 1119.82, 1104.80, 1112.84
11/20/14, 1053.69, 1073.35, 1051.99, 1071.92
11/19/14, 1084.54, 1084.54, 1063.94, 1066.32
11/18/14, 1096.56, 1096.91, 1088.93, 1089.58
11/17/14, 1104.40, 1105.82, 1092.63, 1100.08
11/14/14, 1086.94, 1106.37, 1083.58, 1103.48
11/13/14, 1102.35, 1108.68, 1087.99, 1091.43
11/12/14, 1104.60, 1115.35, 1098.45, 1102.19
11/11/14, 1106.87, 1109.91, 1099.99, 1107.94
11/10/14, 1138.73, 1145.10, 1116.94, 1118.78
11/07/14, 1115.37, 1141.57, 1115.37, 1138.60
11/06/14, 1123.25, 1124.42, 1112.63, 1115.37
11/05/14, 1127.27, 1134.20, 1117.22, 1127.56
11/04/14, 1143.41, 1144.26, 1116.48, 1127.58
11/03/14, 1162.79, 1162.79, 1146.82, 1148.89
10/31/14, 1144.17, 1168.48, 1137.32, 1167.68
10/30/14, 1142.25, 1148.61, 1130.88, 1144.40
10/29/14, 1176.18, 1180.30, 1143.82, 1152.17
10/28/14, 1150.54, 1173.17, 1148.31, 1172.19
10/27/14, 1151.06, 1151.06, 1134.02, 1141.18
10/24/14, 1153.57, 1174.00, 1153.57, 1171.06
10/23/14, 1142.80, 1162.39, 1141.66, 1152.44
10/22/14, 1154.45, 1156.44, 1140.98, 1141.71
10/21/14, 1139.19, 1157.79, 1139.19, 1154.45
10/20/14, 1126.68, 1135.17, 1124.23, 1134.09
10/17/14, 1134.15, 1146.22, 1128.42, 1133.87
10/16/14, 1116.04, 1144.56, 1108.89, 1133.30
10/15/14, 1138.34, 1146.78, 1110.04, 1141.79
10/14/14, 1144.05, 1173.62, 1139.05, 1153.59
10/13/14, 1139.24, 1157.68, 1132.88, 1133.54
10/10/14, 1135.06, 1142.36, 1117.01, 1117.10
10/09/14, 1180.79, 1181.24, 1145.00, 1148.16
10/08/14, 1170.98, 1183.40, 1146.14, 1182.44
10/07/14, 1181.36, 1186.89, 1170.24, 1170.81
10/06/14, 1190.72, 1217.49, 1171.49, 1186.56
10/03/14, 1183.40, 1185.38, 1167.69, 1168.27
10/02/14, 1189.19, 1194.49, 1165.97, 1190.30
10/01/14, 1217.94, 1217.94, 1182.77, 1188.16
09/30/14, 1221.32, 1225.76, 1210.65, 1217.94
09/29/14, 1235.88, 1235.88, 1219.62, 1221.32
09/26/14, 1249.81, 1251.56, 1243.97, 1246.46
09/25/14, 1269.33, 1269.33, 1244.09, 1251.08
09/24/14, 1290.22, 1291.72, 1277.07, 1282.47
09/23/14, 1290.29, 1294.95, 1282.95, 1283.48
09/22/14, 1311.07, 1311.07, 1284.55, 1290.43
09/19/14, 1345.13, 1346.97, 1323.09, 1326.45
09/18/14, 1346.47, 1349.49, 1341.86, 1346.65
09/17/14, 1349.67, 1352.59, 1340.13, 1343.75
09/16/14, 1311.37, 1337.42, 1306.65, 1332.16
09/15/14, 1314.99, 1320.26, 1311.42, 1313.91
09/12/14, 1320.76, 1320.76, 1308.98, 1313.34
09/11/14, 1307.55, 1323.17, 1307.55, 1322.56
09/10/14, 1313.24, 1313.52, 1300.55, 1309.72
09/09/14, 1321.36, 1326.49, 1308.85, 1313.24
09/08/14, 1336.17, 1336.27, 1317.59, 1321.36
09/05/14, 1338.02, 1341.08, 1329.54, 1341.04
09/04/14, 1340.27, 1355.94, 1338.16, 1340.41
09/03/14, 1335.50, 1349.72, 1335.50, 1341.12
09/02/14, 1334.75, 1334.75, 1325.69, 1327.16
08/29/14, 1330.85, 1334.63, 1321.35, 1333.80
08/28/14, 1342.75, 1342.75, 1325.23, 1327.72
08/27/14, 1362.31, 1363.75, 1354.46, 1359.55
08/26/14, 1349.09, 1367.20, 1349.09, 1365.19
08/25/14, 1351.25, 1355.03, 1345.69, 1349.22
08/22/14, 1345.51, 1348.65, 1336.82, 1346.82
08/21/14, 1358.65, 1358.65, 1347.06, 1351.57
08/20/14, 1354.64, 1361.97, 1354.25, 1360.03
08/19/14, 1352.62, 1362.08, 1352.45, 1357.96
08/18/14, 1332.60, 1355.41, 1332.60, 1355.20
08/15/14, 1340.40, 1342.81, 1326.34, 1332.60
08/14/14, 1337.46, 1337.73, 1329.66, 1334.28
08/13/14, 1332.60, 1342.68, 1330.06, 1339.07
08/12/14, 1341.64, 1343.88, 1333.46, 1338.57
08/11/14, 1342.24, 1350.31, 1340.34, 1343.71
08/08/14, 1316.95, 1334.45, 1313.72, 1334.40
08/07/14, 1334.39, 1340.38, 1314.39, 1320.83
08/06/14, 1322.61, 1340.39, 1320.53, 1334.76
08/05/14, 1332.34, 1340.00, 1322.23, 1327.61
08/04/14, 1334.58, 1344.79, 1326.42, 1343.58
08/01/14, 1333.69, 1340.77, 1318.21, 1328.10
07/31/14, 1349.83, 1352.28, 1330.13, 1336.17
07/30/14, 1369.12, 1370.97, 1355.51, 1358.01
07/29/14, 1373.75, 1374.62, 1361.31, 1361.31
07/28/14, 1366.71, 1370.21, 1358.39, 1368.02
07/25/14, 1362.17, 1364.85, 1355.55, 1362.64
07/24/14, 1363.88, 1368.34, 1358.62, 1362.12
07/23/14, 1359.58, 1361.64, 1353.65, 1358.71
07/22/14, 1355.90, 1366.06, 1355.90, 1362.07
07/21/14, 1345.27, 1350.16, 1334.80, 1349.83
07/18/14, 1328.09, 1349.80, 1328.09, 1345.72
07/17/14, 1347.01, 1348.63, 1325.71, 1327.53
07/16/14, 1337.18, 1353.63, 1337.18, 1353.12
07/15/14, 1325.26, 1335.83, 1319.68, 1331.76
07/14/14, 1329.26, 1331.45, 1319.81, 1323.16
07/11/14, 1319.48, 1329.75, 1311.12, 1325.77
07/10/14, 1324.19, 1332.45, 1318.72, 1323.31
07/09/14, 1336.92, 1344.14, 1335.55, 1341.62
07/08/14, 1345.28, 1345.28, 1335.41, 1336.97
07/07/14, 1349.97, 1351.87, 1341.71, 1346.91
07/03/14, 1341.59, 1356.57, 1341.59, 1354.74
07/02/14, 1316.11, 1339.29, 1315.78, 1338.28
07/01/14, 1310.71, 1323.06, 1310.71, 1315.18
06/30/14, 1296.98, 1306.37, 1291.30, 1305.81
06/27/14, 1299.63, 1302.46, 1292.52, 1300.21
06/26/14, 1301.93, 1310.17, 1300.88, 1308.90
06/25/14, 1289.71, 1301.95, 1288.87, 1300.91
06/24/14, 1296.33, 1309.61, 1288.39, 1289.92
06/23/14, 1296.41, 1304.92, 1295.58, 1300.91
06/20/14, 1291.52, 1292.40, 1286.56, 1288.18
06/19/14, 1299.02, 1304.99, 1291.53, 1295.76
06/18/14, 1276.35, 1297.65, 1274.42, 1296.89
06/17/14, 1260.99, 1276.51, 1258.42, 1275.59
06/16/14, 1272.59, 1273.10, 1262.60, 1264.81
06/13/14, 1268.20, 1274.64, 1265.13, 1273.03
06/12/14, 1278.65, 1278.65, 1264.16, 1266.14
06/11/14, 1285.55, 1291.44, 1281.60, 1289.81
06/10/14, 1294.16, 1294.16, 1283.58, 1287.32
06/09/14, 1293.82, 1301.02, 1292.82, 1298.25
06/06/14, 1288.34, 1294.66, 1284.32, 1292.90
06/05/14, 1271.59, 1281.77, 1269.12, 1278.93
06/04/14, 1260.62, 1266.04, 1258.32, 1260.58
06/03/14, 1256.96, 1261.91, 1256.96, 1260.65
06/02/14, 1260.88, 1264.51, 1256.26, 1262.25
05/30/14, 1266.27, 1266.99, 1256.41, 1258.40
05/29/14, 1280.97, 1284.91, 1271.76, 1284.54
05/28/14, 1282.48, 1283.86, 1271.41, 1277.95
05/27/14, 1287.00, 1292.34, 1287.00, 1289.90
05/23/14, 1279.59, 1286.03, 1277.28, 1284.52
05/22/14, 1268.21, 1284.85, 1268.21, 1275.69
05/21/14, 1266.07, 1271.14, 1263.09, 1269.18
05/20/14, 1279.25, 1282.75, 1258.63, 1262.53
05/19/14, 1278.64, 1285.82, 1278.64, 1285.20
05/16/14, 1288.96, 1288.96, 1274.13, 1287.77
05/15/14, 1297.59, 1299.10, 1278.63, 1288.96
05/14/14, 1297.78, 1309.19, 1297.76, 1299.44
05/13/14, 1300.68, 1303.36, 1296.17, 1297.07
05/12/14, 1263.83, 1301.46, 1263.83, 1300.68
05/09/14, 1263.76, 1266.43, 1257.99, 1263.83
05/08/14, 1276.47, 1282.87, 1268.19, 1270.46
05/07/14, 1267.61, 1277.24, 1262.27, 1276.47
05/06/14, 1265.34, 1277.93, 1262.77, 1267.61
05/05/14, 1275.77, 1275.77, 1261.26, 1265.06
05/02/14, 1264.30, 1283.03, 1263.95, 1279.88
05/01/14, 1260.48, 1262.53, 1254.26, 1261.27
04/30/14, 1260.76, 1261.76, 1254.53, 1261.39
04/29/14, 1263.91, 1272.88, 1263.91, 1267.01
04/28/14, 1268.52, 1268.52, 1247.55, 1258.49
04/25/14, 1281.82, 1281.82, 1262.66, 1268.52
04/24/14, 1285.53, 1290.28, 1276.02, 1287.40
04/23/14, 1279.67, 1282.38, 1271.98, 1280.41
04/22/14, 1284.53, 1285.95, 1277.72, 1280.01
04/21/14, 1293.77, 1293.82, 1277.16, 1284.09
04/17/14, 1284.16, 1298.46, 1281.50, 1291.48
04/16/14, 1286.80, 1290.54, 1278.34, 1284.16
04/15/14, 1292.59, 1292.59, 1259.55, 1281.37
04/14/14, 1297.38, 1314.51, 1297.38, 1308.09
04/11/14, 1293.13, 1295.58, 1285.20, 1291.18
04/10/14, 1320.89, 1320.89, 1296.24, 1299.56
04/09/14, 1317.39, 1331.23, 1310.73, 1322.09
04/08/14, 1307.34, 1327.43, 1307.34, 1316.26
04/07/14, 1300.85, 1308.55, 1289.48, 1298.48
04/04/14, 1308.55, 1320.66, 1296.82, 1299.61
04/03/14, 1295.33, 1301.10, 1290.45, 1298.83
04/02/14, 1286.53, 1303.28, 1283.55, 1301.45
04/01/14, 1292.08, 1296.65, 1282.98, 1290.06
03/31/14, 1279.43, 1289.31, 1279.18, 1283.92
03/28/14, 1269.93, 1281.05, 1264.00, 1267.15
03/27/14, 1258.80, 1270.68, 1258.73, 1267.28
03/26/14, 1273.66, 1280.58, 1256.76, 1256.94
03/25/14, 1253.43, 1273.35, 1253.43, 1267.93
03/24/14, 1255.03, 1263.09, 1243.88, 1253.43
03/21/14, 1237.35, 1257.98, 1237.35, 1249.44
03/20/14, 1217.38, 1233.66, 1210.59, 1228.20
03/19/14, 1228.14, 1237.56, 1216.16, 1221.81
03/18/14, 1209.58, 1232.05, 1208.39, 1230.02
03/17/14, 1208.64, 1224.35, 1207.03, 1212.36
03/14/14, 1191.92, 1205.77, 1191.40, 1200.37
03/13/14, 1217.61, 1222.18, 1187.17, 1189.46
03/12/14, 1202.47, 1217.88, 1201.37, 1209.58
03/11/14, 1217.48, 1225.30, 1202.06, 1204.21
03/10/14, 1225.41, 1225.41, 1202.04, 1213.62
03/07/14, 1254.76, 1254.76, 1229.34, 1234.92
03/06/14, 1252.58, 1268.63, 1252.58, 1260.49
03/05/14, 1253.51, 1253.51, 1244.84, 1248.07
03/04/14, 1246.80, 1255.14, 1243.80, 1253.51
03/03/14, 1243.40, 1243.40, 1225.12, 1233.22
02/28/14, 1266.65, 1266.65, 1252.94, 1259.09
02/27/14, 1258.07, 1269.57, 1254.40, 1269.49
02/26/14, 1252.26, 1258.96, 1243.65, 1251.73
02/25/14, 1272.37, 1272.37, 1247.62, 1251.73
02/24/14, 1288.32, 1290.45, 1278.51, 1278.51
02/21/14, 1302.66, 1303.20, 1290.35, 1293.15
02/20/14, 1294.81, 1305.75, 1291.02, 1300.59
02/19/14, 1298.05, 1309.03, 1293.31, 1295.31
02/18/14, 1320.95, 1321.53, 1310.58, 1310.82
02/14/14, 1309.80, 1326.55, 1308.76, 1324.50
02/13/14, 1285.56, 1305.96, 1284.19, 1305.38
02/12/14, 1298.83, 1302.59, 1291.56, 1294.57
02/11/14, 1265.16, 1292.98, 1264.89, 1290.66
02/10/14, 1273.85, 1273.85, 1256.20, 1258.93
02/07/14, 1277.20, 1281.23, 1263.58, 1279.92
02/06/14, 1243.77, 1270.82, 1243.77, 1269.54
